NAMES,MAJOR CITY,STATE,ADDRESS
Top Rank Hotels,Independence Layout, Enugu ,1 Hillview Avenue ESBS Junction
Guaranty Resort Hotel Limited,Independence Layout, Enugu ,"2 Winner Avenue LND, Layout "
First Eleven Suites And Lounge,Independence Layout, Enugu ,"Q8, Azuogbunike Crescent"
Bex Suites,Enugu, Enugu ,"Ishielu Street, Independence Layout, "
BEYOND HOTELS LTD,Independence Layout, Enugu ,"No 10 Nzah Street, By Lobito Crescent, Close To Th..."
Hotel Kalie Ltd.,Trans Ekulu, Enugu ,"9/11 Uzuakpunwa Street, Phase 6"
White Leaf Hotel,New Heaven, Enugu ,"161c Upper Chime Avenue By Imperial Bus Stop, New ..."
Citadel Suites Limited,9th Mile Corner Ngwo," , Enugu ","9th Mile  Corner Ngwo,Nsukka Express Road,near Ama..."
Hilton Park Hotels And Resort,Nike Lake, Enugu ,"64, Asuke Drive Lakeview,  Suncity Estate Lake Vie..."
Kennan Lodge,Nsukka, Enugu ,"3 Alor-Uno Road, Isi-Uja"
Podez Hilltop Hotel,Nsuka, Enugu ,23 Ikeagwu Road By Shalom Hospital Off Enugu Road
3D Suites,Independence Layout, Enugu ,7B Ogbaru Street
Jucony Hotel And Resort,Nsukka, Enugu ,"Plot 54A Old  GRA Nsukka, Opposite Nsukka High Sch..."
Hearts Hotel,Enugu, Enugu ,"Plot 9, Black And Proud Close, By 36 Awkunanaw Str..."
Donbidd Royal Hotel,Enugu, Enugu ,200A Ogui Road Enugu
Davala Suites,, Enugu ,8 Abomini Crescent Independence Lay Out
Veronica Suites,Independence Layout, Enugu ,24 Ekulu Avenue G.R.A
Lake Town Guest Town,Nike Lake, Enugu ,300 Upper Nike Road/ 1 Abba Close Adj Nike Lane Re...
Zodiac Hotels,Independence Layout, Enugu ,5/7 Rangers Avenue
De Angelo Hotel ,GRA, Enugu ,"1 De Angelo Way, Golf Estate "
Mirage Hotel,Independence Layout, Enugu ,86 Agbani Road
Rivonia  Hotel,Independence Layout, Enugu ,1 Nwakwo Street
Vance Hotel,Trans Ekulu, Enugu ,36 Kenneth Road
Mary Land Hotel,Oji River, Enugu ,"No. 40, Old Enugu-Onitsha Road, Oji River, Enugu S..."
Signature Grand Hotel,Enugu, Enugu ,"5 Ajali Drive, Via Agric Bank Enugu"
Thinkers Guest House,Thinkers Corner Layout, Enugu ,"Plot 8, Block 7"
Kings Guest House,Trans-Ekulu,,"kulu, Enugu - 13/15 Enugu Abor Street"
Kingdom Guest House,Gariki, Enugu ,"22, Kingdom Road"
Bob Yellow Motel, Gariki, Enugu ,Off Over Lane
Romchi Resort Hotel,Awkunanaw, Enugu ,"33, Amechi Road"
Dollar Bill Inn,Abakpa Nike, Enugu ,"No 1 Charles Agbo Close, Enugu East Local Governme..."
Landmark Hotel,Asata, Enugu ,"No. 87 Obiagu, Asata"
Agbani Guest House,Enugu, Enugu ,"Agbani House Road, Uwani"
Likki Lake Guest House,Abakpa, Enugu ,"1, Joshua Ngwo Crescent, Abakpa Nike"
Saint Rest Guest House,Enugu, Enugu ,"Plot 5/23 Opposite Chief Edward Nnaji Park, New Ha..."
Pat Benson's Green Valley Suites,Awgu, Enugu ,"Along Old Enugu-Okigwe Road, Awgu LGA, Near Awgu P..."
People's Classique Hotel,Abgani, Enugu ,"9/10 New Layout, Agbani"
Oaklands Hotel And Amusement Park,GRA, Enugu ,"Tunnel Crossing, Ogui Link Road, Beside Elim Plaza"
De Gladys Hotel ,GRA, Enugu ,"Fidelity Estate, After Ebeano Tunnel, Ogui, "
Best Western Plus Enugu,Independence Layout, Enugu ," 607, Nza Street Independence Layout,Enugu State "
Blue Island Hotel ,Independence Layout, Enugu ,12 Independence Avenue (Bisalla Road)
Mzansi Lounge (Now Henry's Lounge),Trans Ekulu, Enugu ,72 Nike Lake Road
Chiez Inn,New Heaven, Enugu ,"5 Ihiala Avenue, City Layout Off Upper Chime Avenu..."
Modotels Enugu,Independence Layout, Enugu ,2 Club Road Off Okpara Avenue GRA
Admiral Resort,Independence Layout, Enugu ,"Plot 567B Chaka Crescent, Off Nza Street Independe..."
Richcrest Hotel,Trans Ekulu, Enugu ,"3 Nkponkiti Road, New Layout Off Car Wash."
The Edge Guest House,GRA, Enugu ,5 Chime Lane G.R.A
Millipat Hotels,Nsukka, Enugu ,"132, Enugu Road  Enugu Road,  Nsukka  Enugu "
Stephanie's Court Hotel,New Heaven, Enugu ,122 Chime Avenue 
Barry Gold Hotel,Enugu, Enugu ,"No. 6, Amawbia Close, New Haven, Enugu, Enugu Stat..."
Gorgik Hotels ,New Heaven, Enugu ,38 Chime Lane G.R.A
Grace Manor Hotel And Suite,Independence Layout, Enugu ,"No. 24 Nnanna Atuanya Drive, Opposite Emeka Mamah ..."
Tommylyn Hotel,Independence Layout, Enugu ,"1 Tommylyn Avenue, Independence Layout"
Bongos Suites,Independence Layout, Enugu ,1 Okolonnamani Close Nkwo Nike Enugu East LGA
Mary Jane Hotel,New Heaven, Enugu ,1A Ituku Street
Regency Hotel (Copacabana Home),Independence Layout, Enugu ,47 Umoji Street
Mary Suites,Trans Ekulu, Enugu ,No 7 Ben Ojeh Cresent Phase 6 Trans Ekulu.
Naomi's Guest House,Trans Ekulu, Enugu ,14 Estate Avenue Behind Street Mary\'s Catholic Ch...
Naiko Guest House,New Heaven, Enugu ,175 Ogui Road
